'uiIndex, szWeaponName, ubWeaponClass, ubWeaponType, ubCalibre, ubReadyTime, ubShotsPer4Turns, ubShotsPerBurst, ubBurstPenalty, ubBulletSpeed, ubImpact, ubDeadliness, bAccuracy, ubMagSize, usRange, usReloadDelay, BurstAniDelay, ubAttackVolume, ubHitVolume, sSound, sBurstSound, sSilencedBurstSound, sReloadSound, sLocknLoadSound, SilencedSound, bBurstAP, bAutofireShotsPerFiveAP, APsToReload, SwapClips, MaxDistForMessyDeath, AutoPenalty, NoSemiAuto, EasyUnjam, APsToReloadManually, ManualReloadSound, nAccuracy, bRecoilX, bRecoilY, ubAimLevels, ubRecoilDelay, Handling, usOverheatingJamThreshold, usOverheatingDamageThreshold, usOverheatingSingleShotTemperature, HeavyGun'
708, SA vz.58,3,6,10,15, 12.07,NULL,17,22,34,31,5,30,280,200,38,80,8,359,49,127,102,108,157,16,3,31,1,7,17,NULL,NULL,NULL,476,54,3,17,4,NULL,11,7000,6000,70,NULL, 
709, Sako TRG 22,3,5,9,18, 12.95,NULL,0,22,46,48,9,10,695,200,100,85,8,314,6,127,102,108,157,NULL,NULL,27,1,16,0,NULL,1,12,477,88,NULL,NULL,5,NULL,12,4000,5000,140,NULL, 
710, Sako TRG 42,3,5,25,19, 12.07,NULL,0,22,59,76,12,10,830,200,100,100,10,440,NULL,127,102,108,157,NULL,NULL,27,1,28,0,NULL,1,28,477,98,NULL,NULL,5,NULL,14,4000,5000,165,NULL, 
711, Sawed-Off Shotgun,5,8,5,6, 15.82,2,0,22,43,25,0,2,65,200,10,85,8,435,126,NULL,103,109,157,4,NULL,17,NULL,7,0,NULL,1,NULL,481,4,NULL,NULL,3,NULL,13,4000,5000,90,NULL, 
712, SIG SG542,3,6,9,18, 11.67,NULL,20,22,41,37,7,20,575,200,38,85,8,347,39,127,102,108,499,17,3,30,1,12,20,NULL,NULL,NULL,476,71,4, 19.5,4,NULL,12,7000,6000,70,NULL, 
713, SIG SG550,3,6,8,16, 13.43,3,9,22,32,31,7,30,375,200,43,70,7,341,33,127,102,108,499,15,3,29,1,8,9,NULL,NULL,NULL,476,70,2, 8.5,4,NULL,11,7000,6000,70,NULL, 
714, SIG SG551 SWAT,2,6,8,13, 14.53,3,9,22,29,40,6,30,340,200,43,80,7,452,93,127,102,108,499,15,3,29,1,7,9,NULL,NULL,NULL,476,65,2,9,4,NULL,10,6500,5500,70,NULL, 
715, SIG SG552 Commando,2,6,8,11, 15.15,3,9,22,27,31,6,30,290,200,43,80,7,452,93,127,102,108,499,15,3,29,1,7,9,NULL,NULL,NULL,476,58,2,9,4,NULL,9,6000,5000,70,NULL, 
716, SIG P210,1,1,2,4, 24.53,NULL,0,21,25,14,1,8,120,200,100,55,3,367,1,111,100,106,156,NULL,NULL,22,1,7,0,NULL,NULL,NULL,476,6,NULL,NULL,3,NULL,9,4000,4500,70,NULL, 
717, SIG P226R .40,1,1,23,4, 24.53,NULL,0,21,22,17,1,14,110,200,100,60,5,300,NULL,NULL,100,106,157,NULL,NULL,25,1,7,0,NULL,NULL,NULL,476,6,NULL,NULL,3,NULL,9,3500,4000,75,NULL, 
718, SIG P229R,1,1,2,4, 24.53,NULL,0,21,24,14,0,15,100,200,100,55,3,367,1,111,100,106,156,NULL,NULL,22,1,7,0,NULL,NULL,NULL,476,5,NULL,NULL,3,NULL,9,3500,4000,70,NULL, 
719, SIG Pro,1,1,23,4, 24.53,NULL,0,21,21,14,0,14,100,200,100,90,5,300,15,111,100,106,157,NULL,NULL,25,1,7,0,NULL,NULL,NULL,476,5,NULL,NULL,3,NULL,9,3500,4000,75,NULL, 
720, Skorpion vz.82 )-|,2,2,22,5, 18.25,NULL,12,22,19,15,0,20,130,200,35,45,3,458,99,111,101,107,156,NULL,4,30,1,7,12,NULL,NULL,NULL,476,4, 4.5,11,4,NULL,12,3900,4000,70,NULL, 
721, Sphinx 3000,1,1,2,4, 24.53,NULL,0,21,25,14,1,15,115,200,100,50,3,367,1,111,100,106,156,NULL,NULL,25,1,7,0,NULL,NULL,NULL,476,7,NULL,NULL,3,NULL,9,3600,4600,70,NULL, 
722, Springfield XD,1,1,23,4, 28.45,NULL,0,21,22,17,1,14,125,200,100,60,5,302,NULL,111,100,106,157,NULL,NULL,25,1,7,0,NULL,NULL,NULL,476,7,NULL,NULL,3,NULL,9,3500,4000,75,NULL, 
723, SR-1 Gyurza,1,1,29,4, 24.53,NULL,0,21,25,17,1,18,125,200,100,50,9,294,1,111,100,106,157,NULL,NULL,25,1,7,0,NULL,NULL,NULL,476,7,NULL,NULL,3,NULL,9,3500,4000,75,NULL, 
724, Stechkin APS,1,2,22,4, 24.53,NULL,15,21,20,16,1,20,135,200,50,45,3,380,65,117,100,106,309,NULL,3,27,1,7,15,NULL,NULL,NULL,476,7, 4.5, 14.5,3,NULL,10,3500,4000,70,NULL, 
725, Sterling L2A3,2,3,2,8, 15.82,NULL,8,22,26,18,2,30,155,200,55,50,3,378,63,111,101,107,156,NULL,2,30,1,7,8,NULL,NULL,NULL,476,17, 4.5, 6.5,4,NULL,8,4000,5000,70,NULL, 
726, Steyr AUG HBAR,3,7,8,15, 15.82,NULL,8,22,32,42,7,42,415,200,44,65,8,455,96,127,102,108,157,NULL,3,50,1,8,8,NULL,NULL,NULL,476,74,2,8,4,NULL,11,4200,5300,70,NULL, 
727, Steyr AUG Para,2,3,2,7, 17.36,NULL,7,22,26,21,3,30,210,200,40,50,3,374,60,111,101,107,156,NULL,3,49,1,7,7,NULL,NULL,NULL,476,32,4, 5.5,4,NULL,7,4000,5000,70,NULL, 
728, Steyr Scout Tactical,3,5,9,18, 13.43,NULL,0,22,43,39,8,10,600,200,100,85,8,353,NULL,NULL,102,108,157,NULL,NULL,27,1,12,0,NULL,1,12,477,85,NULL,NULL,4,NULL,12,4000,5000,140,NULL, 
729, Steyr SSG-P1,3,5,9,18, 12.49,NULL,0,22,45,47,9,5,680,200,100,85,8,322,6,127,102,108,157,NULL,NULL,27,1,16,0,NULL,1,12,477,88,NULL,NULL,5,NULL,12,4000,5000,140,NULL, 
730, Steyr TMP )-|,2,2,2,6, 16.55,NULL,18,22,25,19,1,30,145,200,33,55,3,449,90,111,101,107,157,NULL,3,27,1,7,18,NULL,NULL,NULL,476,8,5,17,4,NULL,11,3500,4500,70,NULL, 
731, Street Sweeper,5,8,5,18, 12.49,NULL,0,22,50,29,1,12,105,200,100,85,8,391,73,127,103,109,157,NULL,NULL,84,NULL,7,0,NULL,NULL,NULL,481,13,NULL,NULL,3,NULL,12,4000,5000,90,NULL, 
732, Super-Shorty Mini-Shotgun,5,8,5,6, 20.33,NULL,0,22,41,27,0,4,60,200,100,80,8,435,3,127,103,109,157,NULL,NULL,28,NULL,7,0,NULL,1,6,481,2,NULL,NULL,3,NULL,13,4000,5000,90,NULL, 
733, SV-98,3,5,24,19, 12.95,NULL,0,22,47,47,9,10,695,200,100,90,8,363,98,127,102,108,157,NULL,NULL,27,1,16,0,NULL,1,12,476,88,NULL,NULL,5,NULL,12,4000,5000,140,NULL, 
734, Dragunov SVDS,3,4,24,18, 12.07,NULL,0,22,46,48,8,10,640,200,100,90,8,366,98,127,102,108,157,NULL,NULL,27,1,15,0,NULL,NULL,NULL,476,79,NULL,NULL,5,NULL,12,6000,5000,140,NULL, 
735, SVU,3,4,24,15, 12.95,NULL,0,22,45,46,8,10,615,200,100,70,7,457,98,127,102,108,157,NULL,NULL,37,1,15,0,NULL,NULL,NULL,476,77,NULL,NULL,4,NULL,11,5000,5000,140,NULL, 
736, Taurus Raging Bull 444,1,1,26,5, 18.25,NULL,0,20,34,17,1,6,140,200,100,55,5,409,NULL,NULL,100,106,157,NULL,NULL,32,1,7,0,NULL,1,6,480,14,NULL,NULL,3,NULL,9,4000,4500,75,NULL, 
737, Thompson M1928,2,3,3,11, 15.82,NULL,7,22,22,21,2,50,155,200,46,40,3,415,76,111,101,107,157,15,3,40,1,7,7,NULL,NULL,NULL,476,19,4, 5.5,4,NULL,11,4000,5000,75,NULL, 
738, Tokarev TT-33,1,1,20,4, 28.45,NULL,0,21,24,13,1,8,115,200,100,60,3,361,13,111,100,106,157,NULL,NULL,22,1,7,0,NULL,NULL,NULL,476,6,NULL,NULL,3,NULL,9,3500,4000,70,NULL, 
739, U-94S UDAR,1,8,28,3, 22.94,NULL,0,20,43,19,0,5,65,200,100,70,5,389,NULL,NULL,100,106,157,NULL,NULL,32,1,7,0,NULL,1,4,480,4,NULL,NULL,3,NULL,6,3000,3500,80,NULL, 
740, Ultimax,4,7,8,20, 14.53,NULL,6,22,32,45,7,100,380,200,56,75,8,345,37,127,104,110,157,NULL,3,29,1,7,6,1,NULL,NULL,476,70, 1.5, 5.5,5,NULL,12,4200,4800,70,NULL, 
741, USAS-12,5,8,5,18, 12.95,NULL,18,22,50,30,1,20,125,200,83,85,8,394,73,127,103,109,157,41,1,45,1,7,18,NULL,NULL,NULL,481,13,4,18,4,NULL,12,4000,5000,90,NULL, 
742, Valmet M76,3,6,10,15, 12.95,NULL,14,22,34,30,6,30,310,200,43,80,8,448,89,127,102,108,157,16,3,34,1,7,14,NULL,NULL,NULL,476,58,3, 13.5,4,NULL,11,7000,6000,70,NULL, 
743, Valmet M82,3,6,8,12, 15.82,NULL,9,22,30,30,7,30,355,200,40,75,7,341,33,127,102,108,157,NULL,3,58,1,7,9,NULL,NULL,NULL,476,68,2,9,4,NULL,9,7000,6000,70,NULL, 
744, VIS-35,1,1,2,4, 24.53,NULL,0,21,25,13,1,8,115,200,100,50,3,367,NULL,111,100,106,156,NULL,NULL,22,1,7,0,NULL,NULL,NULL,476,6,NULL,NULL,3,NULL,9,3500,4000,70,NULL, 
745, VSk-94,3,5,18,15, 12.95,NULL,10,22,37,41,4,20,235,200,33,65,8,385,70,71,102,108,309,15,3,30,1,8,10,NULL,NULL,NULL,476,43,3,10,4,NULL,10,3300,5000,70,NULL, 
746, Walther WA 2000,3,5,39,16, 13.43,NULL,0,22,49,59,11,5,735,200,100,95,8,347,NULL,NULL,102,108,157,NULL,NULL,48,1,16,0,NULL,NULL,NULL,476,88,NULL,NULL,4,NULL,11,4000,5000,165,NULL, 
747, Winchester 94 Trapper,3,4,26,12, 13.43,NULL,0,22,35,21,4,8,205,200,100,55,5,411,NULL,NULL,102,108,157,NULL,NULL,32,NULL,7,0,NULL,1,9,478,44,NULL,NULL,4,NULL,10,5000,4000,70,NULL, 
748, XM-29 OICW,3,6,8,17, 13.43,3,6,23,27,45,6,30,300,200,40,70,7,334,28,127,102,108,499,15,3,39,1,7,6,NULL,NULL,NULL,476,60,2, 5.5,4,NULL,11,4000,5000,70,NULL, 
749, XM-8 Automatic,3,7,8,19, 13.96,NULL,9,23,32,39,7,100,385,200,40,70,7,346,38,127,102,108,499,15,3,29,1,7,9,NULL,NULL,NULL,476,71,2,9,5,NULL,12,4000,5000,70,NULL, 
750, XM-8 Baseline Carbine,2,6,8,12, 14.53,NULL,11,23,28,34,6,30,325,200,40,70,7,346,38,127,102,108,499,15,3,29,1,7,11,NULL,NULL,NULL,476,64,2, 10.5,4,NULL,9,4000,5000,70,NULL, 
751, XM-8 Compact Carbine,2,6,8,10, 13.96,NULL,14,23,27,31,6,30,285,200,40,85,7,346,38,127,102,108,499,15,3,29,1,7,14,NULL,NULL,NULL,476,59, 2.5, 13.5,4,NULL,8,3900,4900,70,NULL, 
752, XM-8 Sharpshooter,3,6,8,17, 13.43,NULL,9,23,32,36,7,30,390,200,40,63,7,346,38,127,102,108,499,15,3,29,1,8,9,NULL,NULL,NULL,476,72,2,9,4,NULL,12,4000,5000,70,NULL, 
753, Zastava M76,3,4,40,18, 12.07,NULL,0,22,48,45,8,10,635,200,100,85,8,347,6,127,102,108,157,NULL,NULL,27,1,15,0,NULL,NULL,NULL,476,76,NULL,NULL,5,NULL,12,7000,6000,150,NULL, 
754, Baikal MP-233B,5,8,5,13, 12.95,0,0,22,55,29,2,2,145,200,0,85,8,435,128,NULL,103,109,157,NULL,NULL,19,NULL,7,0,NULL,1,NULL,481,19,NULL,NULL,3,NULL,9,4000,5000,90,NULL, 
755, HK G36,3,6,8,15, 13.96,2,9,22,31,42,7,30,375,200,40,75,7,334,28,127,102,108,499,7,3,31,1,7,9,NULL,NULL,NULL,476,70,2,9,4,NULL,11,4000,5000,70,NULL, 
756, HK G36K,2,6,8,12, 14.53,2,9,22,28,31,6,30,325,200,40,85,7,334,28,127,102,108,499,7,3,31,1,7,9,NULL,NULL,NULL,476,63,2,9,4,NULL,9,4000,5000,70,NULL, 
757, INSAS,3,6,8,15, 13.96,3,10,23,31,30,7,30,360,200,45,75,7,454,95,127,102,108,499,15,NULL,31,1,7,10,NULL,NULL,NULL,476,67,2, 9.5,4,NULL,11,7000,6000,70,NULL, 
758, LAR Grizzly .50 AE,1,1,35,7, 16.55,NULL,0,23,41,18,2,7,135,200,100,75,7,420,NULL,NULL,100,106,157,NULL,NULL,24,1,7,0,NULL,NULL,NULL,476,16,NULL,NULL,3,NULL,13,3700,4000,75,NULL, 
759, MAB PA-15,1,1,2,4, 24.53,NULL,0,23,25,14,0,15,115,200,100,50,7,367,1,111,100,106,156,NULL,NULL,25,1,7,0,NULL,NULL,NULL,476,5,NULL,NULL,3,NULL,9,3500,4000,70,NULL, 
760, .50 Beowulf Rifle,3,4,38,14, 12.49,NULL,0,23,46,28,6,7,255,200,100,90,7,496,122,NULL,102,108,157,NULL,NULL,26,1,7,0,NULL,NULL,NULL,476,59,NULL,NULL,4,NULL,11,3900,4900,90,NULL, 
761, Walther MPL,2,3,2,8, 15.82,NULL,7,22,26,18,3,30,180,200,63,50,3,473,106,111,101,107,156,19,2,30,1,7,7,NULL,NULL,NULL,476,26,4,6,4,NULL,8,4000,5000,70,NULL, 
762, Colt M16A1,3,6,8,16, 13.43,NULL,11,22,32,30,7,30,370,200,38,75,7,341,33,127,102,108,499,15,3,29,1,7,11,NULL,NULL,NULL,476,70,2, 10.5,4,NULL,11,3900,4900,75,NULL, 
763, Colt XM177-E1,2,6,8,12, 14.53,NULL,11,22,27,29,6,30,295,200,38,75,7,339,25,127,102,108,499,15,3,29,1,7,11,NULL,NULL,NULL,476,59, 1.5, 10.5,4,NULL,9,3600,4600,75,NULL, 
764, CMMG 7.3,1,2,8,7, 14.53,3,18,22,27,19,4,30,235,200,38,80,7,339,25,127,102,108,499,15,NULL,29,1,7,18,NULL,NULL,NULL,476,39,5,17,4,NULL,9,3500,4400,75,NULL, 
765, OA-93,1,2,8,7, 14.53,3,18,22,27,19,4,30,230,200,38,80,7,339,25,127,102,108,499,15,NULL,29,1,7,18,NULL,NULL,NULL,476,36,5, 17.5,4,NULL,9,3500,4500,75,NULL, 
766, Automag IV,1,1,37,6, 16.55,NULL,0,23,30,18,1,7,140,200,100,75,7,417,NULL,NULL,100,106,157,NULL,NULL,24,1,7,0,NULL,NULL,NULL,476,14,NULL,NULL,3,NULL,13,3700,4200,75,NULL, 
767, LAR Grizzly .45 WM,1,1,37,7, 16.55,NULL,0,23,30,18,2,7,140,200,100,75,7,417,NULL,NULL,100,106,157,NULL,NULL,24,1,7,0,NULL,NULL,NULL,476,16,NULL,NULL,3,NULL,13,3700,4000,75,NULL, 
768, Wildey Survivor,1,1,37,5, 16.55,NULL,0,23,32,19,3,7,170,200,100,75,7,417,NULL,NULL,100,106,157,NULL,NULL,32,1,7,0,NULL,NULL,NULL,476,29,NULL,NULL,3,NULL,9,3700,4200,75,NULL, 
769, ColtCanada C7CT,3,4,8,18, 13.43,NULL,0,22,32,35,7,30,385,200,38,75,7,341,33,127,102,108,499,NULL,NULL,29,1,7,0,NULL,NULL,NULL,476,72,NULL,NULL,4,NULL,12,4000,5000,75,NULL, 
770, Thompson Contender Encore,1,1,36,8, 16.55,NULL,0,20,39,21,3,1,170,200,100,60,5,426,NULL,NULL,100,106,157,NULL,NULL,24,NULL,7,0,NULL,1,NULL,480,29,NULL,NULL,3,NULL,13,4000,5000,75,NULL, 
771, Ruger S. Redhawk Alaskan,1,1,36,3, 28.45,NULL,0,20,35,19,1,5,100,200,100,65,5,426,NULL,NULL,100,106,157,NULL,NULL,32,1,7,0,NULL,1,6,480,7,NULL,NULL,3,NULL,6,3400,3900,75,NULL, 
772, Fr. Arms M83 Premier Grade,1,1,36,5, 17.36,NULL,0,20,38,20,2,5,150,200,100,60,5,426,NULL,NULL,100,106,157,NULL,NULL,32,1,7,0,NULL,1,6,480,20,NULL,NULL,3,NULL,9,4000,4500,75,NULL, 
773, KP M/31 Suomi,2,3,2,10, 16.55,NULL,5,22,26,20,3,71,205,200,33,70,3,360,50,111,101,107,157,NULL,4,45,1,7,5,NULL,NULL,NULL,476,30, 3.5,4,4,NULL,9,4000,5000,70,NULL, 
774, VSSK Vychlop,3,5,41,19, 11.67,NULL,0,22,63,55,8,5,465,200,100,70,7,134,NULL,71,102,108,309,NULL,NULL,41,1,7,0,NULL,1,16,476,76,NULL,NULL,5,NULL,12,4000,5000,280,NULL, 
775, SPAS-12,5,8,5,16, 12.49,NULL,0,22,51,28,2,7,120,200,100,85,8,297,3,NULL,103,109,157,NULL,NULL,49,NULL,7,0,NULL,NULL,NULL,481,17,NULL,NULL,3,NULL,11,4000,5000,90,NULL, 
776, Mauser Karabiner 98k,3,4,40,18, 11.3,NULL,0,22,50,43,8,5,665,200,100,85,8,486,NULL,NULL,102,108,157,NULL,NULL,32,1,16,0,NULL,1,12,477,77,NULL,NULL,5,NULL,12,4000,5000,140,NULL, 
777, Benelli R1,3,5,39,18, 11.67,NULL,0,22,48,48,11,5,700,200,100,95,8,322,NULL,NULL,102,108,157,NULL,NULL,32,1,15,0,NULL,NULL,NULL,476,87,NULL,NULL,5,NULL,12,4000,5000,150,NULL, 
778, Blaser R93 LRS2 .300 WM,3,5,39,18, 12.95,NULL,0,22,48,48,11,5,695,200,100,95,8,322,NULL,NULL,102,108,157,NULL,NULL,27,1,15,0,NULL,1,12,476,91,NULL,NULL,5,NULL,12,4000,5000,150,NULL, 
779, S&O Shorty,3,5,39,15, 13.96,NULL,0,22,49,50,11,5,755,200,100,95,8,491,6,127,102,108,157,NULL,NULL,52,1,15,0,NULL,1,10,476,92,NULL,NULL,5,NULL,11,4000,5000,165,NULL, 
780, SA vz.24,2,3,20,8, 15.15,NULL,8,22,26,18,3,30,220,200,40,60,3,362,51,111,101,107,157,NULL,3,29,1,7,8,NULL,NULL,NULL,476,27, 4.5,6,4,NULL,10,4100,4300,70,NULL, 
781, SAR 21,3,6,8,13, 15.82,NULL,9,22,32,31,7,30,385,200,40,75,7,439,82,127,102,108,157,NULL,2,53,1,7,9,NULL,NULL,NULL,476,71,2, 8.5,4,NULL,9,4500,5000,70,NULL, 
782, KAC SR-47,3,6,10,13, 13.43,NULL,12,22,34,30,6,30,290,200,32,85,7,493,119,127,102,108,499,16,3,29,1,7,12,NULL,NULL,NULL,476,57, 2.5,12,4,NULL,10,3900,4900,75,NULL, 
783, Walther P99,1,1,2,4, 26.34,NULL,0,21,25,16,1,15,105,200,100,70,7,377,NULL,NULL,100,106,156,NULL,NULL,23,1,7,0,NULL,NULL,NULL,476,6,NULL,NULL,3,NULL,9,3500,4000,70,NULL, 
784, Mauser M-03,3,4,40,18, 11.3,NULL,0,22,52,45,9,5,700,200,100,85,8,486,NULL,NULL,102,108,157,NULL,NULL,32,1,16,0,NULL,1,12,477,87,NULL,NULL,5,NULL,11,4000,5000,140,NULL, 
785, AKMSU,2,6,10,11, 13.43,NULL,13,22,33,30,5,30,250,200,50,90,8,358,45,127,102,108,157,16,3,34,1,7,13,NULL,NULL,NULL,476,46,3,13,4,NULL,8,6000,5000,70,NULL, 
786, Colt Delta Elite,1,1,27,4, 22.94,NULL,0,21,25,18,1,8,140,200,100,75,8,388,NULL,NULL,100,106,157,NULL,NULL,22,1,7,0,NULL,NULL,NULL,476,7,NULL,NULL,3,NULL,9,3500,4000,75,NULL, 
787, FN SCAR-H SV,3,6,9,18, 11.67,NULL,20,23,41,40,7,20,600,200,50,85,8,347,39,127,102,108,499,17,3,28,1,8,20,NULL,NULL,NULL,476,73, 3.5, 19.5,4,NULL,12,4000,5000,75,NULL, 
788, FN SCAR-L SV,3,6,8,15, 13.96,NULL,9,23,31,38,7,30,370,200,50,70,7,346,38,127,102,108,499,15,3,29,1,7,9,NULL,NULL,NULL,476,69, 1.5,9,4,NULL,11,4000,5000,70,NULL, 
789, Steyr ACR,3,6,43,13, 15.15,3,8,NULL,22,38,8,24,585,200,40,75,7,495,121,127,102,108,157,5,NULL,50,1,10,8,NULL,NULL,NULL,NULL,80,2, 7.5,4,NULL,9,4000,5000,70,NULL, 
790, FN SCAR-WP CQC,2,6,10,13, 13.43,NULL,12,23,33,36,5,30,280,200,50,95,8,493,119,127,102,108,157,16,3,29,1,8,12,NULL,NULL,NULL,476,55, 2.5, 11.5,4,NULL,9,3600,4600,70,NULL, 
791, FN SCAR-WP SV,3,6,10,17, 12.49,NULL,12,23,35,38,6,30,330,200,50,85,8,493,119,127,102,108,157,16,3,29,1,8,12,NULL,NULL,NULL,476,61, 2.5, 11.5,4,NULL,12,4000,5000,70,NULL, 
792, FN SCAR-68 CQC,3,6,42,13, 13.43,NULL,15,23,37,37,7,26,350,200,50,85,7,494,120,127,102,108,157,16,3,29,1,7,15,NULL,NULL,NULL,476,68, 2.5,15,4,NULL,9,3600,4600,75,NULL, 
793, FN SCAR-68 SV,3,6,42,16, 12.49,NULL,15,23,38,39,7,26,405,200,50,70,7,494,120,127,102,108,157,16,3,29,1,7,15,NULL,NULL,NULL,476,72, 2.5, 14.5,4,NULL,12,4000,5000,75,NULL, 
794, HK MP5/40A3,2,3,23,8, 15.15,3,10,22,23,21,2,30,140,200,38,75,7,301,15,62,101,107,376,15,3,28,1,7,10,NULL,NULL,NULL,476,19, 5.5, 8.5,4,NULL,8,4000,5000,65,NULL, 
795, Barrett M468,3,6,42,15, 12.49,NULL,15,22,38,30,7,26,390,200,32,75,7,494,120,127,102,108,157,16,3,31,1,9,15,NULL,NULL,NULL,476,71, 2.5,15,4,NULL,11,3900,4900,75,NULL, 
796, Bushmaster M4A3,3,6,42,15, 12.95,NULL,16,22,38,30,7,26,385,200,32,75,7,494,120,127,102,108,157,16,3,31,1,9,16,NULL,NULL,NULL,476,70, 2.5,16,4,NULL,10,3900,4900,75,NULL, 
797, Robarms XCR-1,3,6,42,15, 12.49,NULL,15,22,38,30,7,26,380,200,32,75,7,494,120,127,102,108,157,16,3,29,1,9,15,NULL,NULL,NULL,476,70,3,15,4,NULL,11,5500,4800,75,NULL, 
798, P-08 Parabellum,1,1,2,3, 24.53,NULL,0,21,25,15,1,8,105,200,100,70,7,370,NULL,NULL,100,106,156,NULL,NULL,20,1,7,0,NULL,NULL,NULL,476,7,NULL,NULL,2,NULL,7,2500,3000,70,NULL, 
799, SIG P226 SAS,1,1,2,4, 24.53,NULL,0,21,25,15,1,15,110,200,100,50,3,367,1,111,100,106,156,NULL,NULL,23,1,7,0,NULL,NULL,NULL,476,6,NULL,NULL,3,NULL,9,3500,4000,70,NULL, 
800, SIG P226 SAS .40,1,1,23,5, 24.53,NULL,0,21,22,17,1,14,110,200,100,60,5,300,NULL,NULL,100,106,157,NULL,NULL,25,1,7,0,NULL,NULL,NULL,476,6,NULL,NULL,3,NULL,8,3500,4000,75,NULL, 
887, Colt Anaconda,1,1,26,5, 16.55,NULL,0,20,33,18,2,6,135,200,100,60,5,316,NULL,NULL,99,105,157,NULL,NULL,20,1,7,0,NULL,1,NULL,480,16,NULL,NULL,3,NULL,9,3500,4000,75,NULL, 
888, Manurhin MR-96,1,1,4,6, 15.15,NULL,0,20,28,16,1,6,135,200,100,60,5,423,NULL,NULL,99,105,157,NULL,NULL,18,1,7,0,NULL,1,NULL,480,14,NULL,NULL,3,NULL,10,4000,4500,70,NULL, 
889, FN PRO-9,1,1,2,4, 24.53,NULL,0,21,25,15,1,15,100,200,100,50,3,367,1,111,100,106,157,NULL,NULL,25,1,7,0,NULL,NULL,NULL,476,6,NULL,NULL,3,NULL,9,4000,5000,70,NULL, 
890, FN Forty-Nine,1,1,23,4, 24.53,NULL,0,21,21,16,1,14,110,200,100,50,3,300,NULL,111,100,106,157,NULL,NULL,25,1,7,0,NULL,NULL,NULL,476,6,NULL,NULL,3,NULL,9,3500,4000,70,NULL, 
891, FN FNP-45,1,1,3,4, 24.53,NULL,0,21,20,17,1,14,85,200,100,35,3,413,2,62,100,106,157,NULL,NULL,25,1,7,0,NULL,NULL,NULL,476,6,NULL,NULL,3,NULL,9,3500,4000,75,NULL, 
892, Smith & Wesson M29,1,1,26,5, 16.55,NULL,0,20,33,18,1,6,135,200,100,60,5,316,NULL,NULL,99,105,157,NULL,NULL,32,1,7,0,NULL,1,NULL,480,13,NULL,NULL,3,NULL,9,4000,4500,75,NULL, 
893, M29 SATAN,1,1,26,6, 15.82,NULL,0,20,35,18,2,6,160,200,100,60,5,316,NULL,NULL,99,105,157,NULL,NULL,32,1,7,0,NULL,1,NULL,480,25,NULL,NULL,3,NULL,9,4000,4500,75,NULL, 
894, Manurhin MR-73,1,1,4,5, 15.15,NULL,0,20,28,16,1,6,110,200,100,60,5,423,NULL,NULL,99,105,157,NULL,NULL,22,1,7,0,NULL,1,NULL,480,7,NULL,NULL,3,NULL,9,4000,4500,70,NULL, 
896, M14 EBR,3,6,9,17, 12.07,NULL,17,22,43,39,7,20,580,200,40,85,8,350,42,127,102,108,157,17,3,30,1,13,17,NULL,NULL,NULL,476,72,4, 16.5,4,NULL,12,4000,5000,75,NULL, 
897, M21 EBR,3,5,9,17, 12.07,NULL,0,22,42,46,8,20,580,200,100,85,8,350,6,127,102,108,157,NULL,NULL,30,1,15,0,NULL,NULL,NULL,476,81,NULL,NULL,5,NULL,12,4000,5000,210,NULL, 
898, Fabarm FP6,5,8,5,11, 16.55,NULL,0,22,51,28,1,4,110,200,100,85,8,435,3,NULL,103,109,157,NULL,NULL,49,NULL,7,0,NULL,1,8,481,15,NULL,NULL,3,NULL,8,4000,5000,90,NULL, 
899, Fabarm SDASS,5,8,5,13, 15.82,NULL,0,22,51,29,1,7,115,200,100,85,8,435,3,NULL,103,109,157,NULL,NULL,49,NULL,7,0,NULL,1,8,481,15,NULL,NULL,3,NULL,10,4000,5000,90,NULL, 
900, Kimber Eclipse Pro II,1,1,27,4, 22.94,NULL,0,21,24,18,1,8,125,200,100,75,8,388,NULL,NULL,100,106,157,NULL,NULL,22,1,7,0,NULL,NULL,NULL,476,6,NULL,NULL,3,NULL,9,3500,4000,75,NULL, 
901, Commando Mortar,3,NULL,NULL,NULL,6,NULL,0,30,NULL,90,0,1,1000,200,100,100,10,115,NULL,127,NULL,NULL,157,NULL,NULL,24,1,20,0,NULL,NULL,NULL,476,NULL,NULL,NULL,NULL,NULL,1,4000,5000,40,NULL, 
902, Colt M203PI Grenade Launcher,3,NULL,NULL,4, 7.31,NULL,0,30,NULL,60,0,1,300,200,100,40,10,403,NULL,127,NULL,NULL,157,NULL,NULL,24,1,7,0,NULL,NULL,NULL,476,NULL,NULL,NULL,NULL,NULL,16,4000,5000,40,NULL, 
903, GM-94 Grenade Launcher,3,NULL,NULL,4,7,NULL,0,30,NULL,75,0,4,375,200,100,40,10,408,NULL,127,NULL,NULL,157,NULL,NULL,80,1,8,0,NULL,NULL,NULL,476,NULL,NULL,NULL,NULL,NULL,13,4000,5000,40,NULL, 
904, GP-30 Obuvka Grenade Launcher,3,NULL,NULL,4, 7.3,NULL,0,30,NULL,50,0,1,300,200,100,40,10,405,NULL,127,NULL,NULL,157,NULL,NULL,24,1,7,0,NULL,NULL,NULL,476,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,40,NULL, 
